foot_traffic,avg_income,competitor_count,rent_cost,population_density,parking_score,visibility_score,hygiene_rating,marketing_score,vendor_category
725.0,62.7,5,143.1,53.7,6,8,1.6,68.7,1
429.0,80.9,5,98.5,78.4,8,5,2.5,69.0,2
386.0,73.8,5,108.1,78.4,9,6,2.1,70.8,1
696.0,36.4,7,124.5,67.9,2,10,4.4,69.8,1
555.0,45.2,4,142.5,81.7,7,8,3.0,58.2,2
743.0,74.1,7,100.0,52.4,2,6,1.1,30.4,0
695.0,45.3,4,155.6,64.7,6,9,3.8,79.8,2
585.0,56.6,8,45.9,94.7,2,9,2.6,59.2,1
431.0,68.3,5,132.8,71.0,10,9,3.1,67.9,2
297.0,45.5,7,84.8,71.9,6,6,4.6,56.3,1
511.0,61.6,5,151.2,100.0,2,9,2.0,99.2,0
771.0,40.0,8,114.3,49.0,1,3,2.0,48.6,0
643.0,51.0,5,89.8,81.9,7,5,2.1,47.9,1
351.0,64.8,3,129.9,95.0,3,2,2.4,28.8,1
635.0,36.1,8,136.8,65.1,4,8,1.4,62.3,0
677.0,66.6,12,129.3,82.9,6,4,3.8,97.2,1
423.0,59.7,10,79.1,55.3,5,6,1.8,62.5,2
631.0,68.3,3,95.5,59.7,4,6,4.7,64.5,2
612.0,63.4,3,109.9,75.8,9,5,1.9,79.5,1
371.0,80.5,9,108.8,82.0,6,1,2.0,63.2,0
672.0,61.9,7,132.5,86.8,6,7,2.2,84.0,0
712.0,53.6,4,49.6,93.5,2,10,4.1,87.0,2
817.0,61.8,5,120.0,69.0,6,8,2.7,48.1,1
811.0,68.1,3,101.3,87.9,7,1,4.3,31.4,2
324.0,60.7,4,84.8,64.9,8,10,4.1,73.8,2
412.0,60.6,5,87.7,83.5,8,7,4.7,66.5,2
703.0,49.5,4,103.6,73.1,9,4,4.0,39.1,2
703.0,50.1,4,40.0,76.7,10,6,1.2,46.4,2
703.0,39.0,8,89.0,76.4,3,9,4.3,46.4,1
1200.0,86.2,7,83.7,45.9,10,5,4.8,62.9,2
714.0,41.3,4,126.0,53.1,7,8,5.0,79.9,2
827.0,49.6,5,85.8,71.5,7,5,1.5,81.1,2
791.0,49.2,6,103.5,44.7,1,2,3.5,75.8,0
730.0,73.4,4,156.3,82.5,8,4,1.8,54.2,1
537.0,55.6,3,139.8,83.1,4,2,2.1,100.0,0
752.0,78.7,7,137.1,74.9,5,7,4.0,60.7,2
445.0,49.9,9,95.0,53.2,6,7,4.9,52.2,1
553.0,64.2,9,126.3,90.7,3,3,3.4,32.7,0
503.0,47.5,7,103.0,100.0,5,7,4.4,53.0,1
616.0,92.2,7,104.1,72.2,10,1,1.0,68.8,1
1063.0,42.2,7,122.3,77.7,5,1,1.1,28.3,0
227.0,64.6,9,92.1,73.0,1,9,3.4,40.9,2
737.0,69.5,6,154.8,78.0,3,6,2.6,50.7,2
277.0,66.2,3,105.2,68.2,3,5,4.6,44.5,1
506.0,57.2,7,128.6,69.5,1,6,2.2,42.8,0
818.0,58.1,2,153.7,83.6,7,6,2.7,82.5,2
613.0,60.7,3,140.9,100.0,1,1,3.1,27.0,0
384.0,57.8,5,67.7,49.0,7,5,2.1,63.5,1
457.0,74.5,5,123.3,68.4,4,9,4.6,70.4,2
736.0,93.2,6,135.5,52.3,9,4,2.9,50.3,2
454.0,51.6,8,136.8,93.9,7,3,2.7,55.5,1
643.0,39.5,5,76.6,61.2,5,1,4.4,59.2,0
609.0,58.7,6,90.3,48.4,7,2,2.2,72.7,0
470.0,98.7,7,139.8,79.6,9,3,4.3,90.6,1
1029.0,47.9,0,87.1,96.2,10,4,1.5,34.3,2
727.0,84.6,3,101.0,80.0,6,7,1.7,41.7,2
195.0,85.2,7,157.3,73.1,1,6,4.8,42.7,0
637.0,51.7,4,108.6,76.1,6,8,4.4,59.7,1
468.0,68.5,7,88.2,91.2,1,9,2.6,52.0,1
770.0,84.4,7,83.7,56.9,4,6,3.6,73.3,1
441.0,54.3,10,120.0,68.3,8,7,4.8,46.9,2
577.0,56.9,3,70.0,63.2,5,4,1.8,42.2,1
701.0,51.3,4,102.6,52.5,5,2,1.2,44.7,0
773.0,44.8,4,120.0,65.1,10,9,3.1,62.3,2
360.0,50.3,6,149.0,86.6,8,9,1.6,79.3,2
533.0,41.6,9,130.0,78.5,8,4,1.7,59.1,1
505.0,60.5,7,88.6,79.7,1,3,4.6,48.8,0
469.0,48.5,5,145.4,72.2,5,10,1.0,39.4,0
953.0,63.5,6,101.0,77.8,5,6,4.3,89.2,2
681.0,36.7,5,72.9,58.0,8,3,3.1,24.8,0
348.0,65.0,6,104.8,65.4,1,1,3.2,56.3,0
784.0,72.5,6,153.1,72.9,7,4,3.7,74.8,2
1024.0,30.1,9,115.0,74.2,7,1,2.7,56.0,0
806.0,65.6,4,110.4,74.8,9,2,1.5,48.7,2
296.0,78.4,7,159.1,67.9,2,3,1.4,70.7,0
503.0,41.9,5,67.1,64.3,3,8,4.0,38.1,2
853.0,85.1,5,71.4,100.0,4,10,1.9,25.2,2
458.0,66.3,7,61.5,83.6,1,4,1.1,67.1,0
689.0,49.4,6,121.2,76.2,7,4,4.9,40.1,1
755.0,59.2,8,115.0,66.5,10,10,4.9,62.6,2
415.0,68.4,5,156.3,63.2,3,9,2.5,57.5,0
588.0,61.1,6,117.3,68.0,3,7,1.1,65.2,0
100.0,68.1,6,97.9,74.4,3,2,3.9,55.5,0
395.0,46.2,10,110.1,41.8,8,3,4.3,71.0,0
549.0,62.5,5,113.5,46.5,9,4,1.5,45.9,2
350.0,38.8,4,59.8,60.4,10,4,1.5,75.6,1
926.0,58.3,3,191.3,73.1,2,10,4.3,35.6,1
314.0,46.4,6,125.6,66.4,10,8,4.7,83.5,2
512.0,49.0,3,116.3,92.2,10,10,4.2,100.0,2
626.0,78.5,4,128.5,47.8,1,10,1.8,62.2,1
888.0,76.4,4,131.3,58.7,9,6,2.6,91.4,2
313.0,69.1,5,105.8,92.8,6,3,3.4,96.6,1
833.0,43.6,7,91.1,72.0,9,9,1.6,53.6,1
602.0,55.3,3,128.0,83.3,6,10,1.8,61.0,2
404.0,78.2,5,121.6,100.0,2,8,2.1,43.7,1
692.0,62.1,5,85.7,59.6,1,9,3.0,45.0,0
640.0,94.8,4,152.6,68.5,8,5,3.0,64.7,1
480.0,65.9,7,118.8,65.9,3,3,4.3,27.3,1
614.0,62.9,9,131.9,40.7,1,4,4.0,76.7,0
523.0,55.4,8,151.8,65.3,8,5,4.7,63.3,1
623.0,62.0,7,110.7,83.2,1,9,4.3,73.6,1
732.0,57.7,8,119.5,78.1,8,9,2.0,56.4,2
917.0,70.6,7,134.3,79.3,1,3,2.3,73.5,1
352.0,74.4,5,88.3,64.4,9,7,3.0,65.0,1
1027.0,48.2,10,111.6,60.2,9,6,1.1,70.1,1
210.0,40.0,5,113.8,89.0,9,4,4.6,78.0,2
570.0,32.5,4,81.3,62.5,3,5,1.2,34.7,0
718.0,67.6,5,179.5,74.4,4,10,2.3,45.9,1
656.0,43.4,4,67.8,72.5,5,2,3.3,100.0,1
475.0,27.7,10,71.1,91.9,6,7,3.1,64.1,0
558.0,65.8,5,149.4,84.6,9,4,3.6,25.7,1
501.0,97.4,3,131.4,50.6,4,2,3.1,25.8,0
482.0,59.9,5,79.2,52.2,6,6,1.9,58.5,2
770.0,72.6,5,128.2,78.7,1,2,1.8,49.5,0
671.0,61.2,10,154.0,69.0,2,10,4.6,43.9,0
461.0,58.5,4,109.1,63.2,8,2,2.1,95.9,1
780.0,73.8,8,188.0,85.2,4,7,2.1,52.6,1
661.0,55.6,10,58.3,72.8,10,1,2.7,76.4,0
763.0,64.0,8,130.8,70.8,7,7,1.6,65.0,1
726.0,64.8,9,145.0,81.7,4,10,3.0,54.1,1
434.0,50.0,5,136.7,64.4,9,5,3.7,37.2,1
488.0,74.9,8,103.9,93.5,9,1,4.1,75.4,1
749.0,57.4,8,101.3,58.2,4,6,3.8,13.1,1
722.0,48.7,11,123.3,79.9,8,7,1.6,77.4,2
596.0,68.0,6,134.5,91.5,6,1,2.8,63.0,0
623.0,46.5,7,128.1,49.3,1,9,1.2,72.4,0
856.0,60.4,10,141.2,64.8,7,7,1.1,60.2,1
482.0,59.9,6,79.4,87.1,1,1,2.8,35.3,0
709.0,76.3,8,103.2,87.4,3,3,2.0,68.0,0
560.0,67.1,1,81.8,67.4,8,5,3.7,77.0,1
556.0,59.6,8,98.4,59.0,9,4,3.9,50.4,1
820.0,72.3,4,140.5,84.3,3,2,4.6,73.1,1
765.0,80.9,8,113.2,87.8,1,1,4.0,65.9,1
763.0,68.4,9,188.2,52.5,1,4,1.2,69.0,0
861.0,60.2,3,115.8,51.9,7,7,2.5,42.8,1
604.0,40.3,0,111.8,73.4,5,4,2.1,85.6,1
736.0,44.0,5,113.2,79.4,1,9,2.5,65.9,2
538.0,55.4,6,90.9,65.5,6,8,1.6,76.6,2
665.0,50.9,3,108.3,80.2,6,8,1.4,52.2,2
574.0,57.2,3,143.8,59.3,4,5,3.1,79.6,1
619.0,60.8,4,113.4,38.3,7,1,3.9,51.6,0
719.0,67.9,5,86.2,63.6,7,9,3.8,42.2,2
436.0,58.9,9,82.2,70.9,9,2,2.8,95.4,1
1018.0,67.3,2,96.5,65.9,1,6,3.1,12.5,1
399.0,61.0,5,112.2,52.6,5,10,3.1,100.0,2
357.0,30.4,3,145.8,42.8,10,5,3.8,74.0,0
832.0,45.9,7,69.8,62.3,3,10,1.2,53.7,0
758.0,57.8,3,100.4,83.5,7,8,3.8,66.5,1
725.0,41.9,5,114.3,88.8,4,3,3.3,74.0,0
726.0,69.0,4,55.0,87.8,4,6,1.8,53.4,2
598.0,83.0,6,85.0,57.8,1,6,1.2,100.0,0
421.0,78.3,8,89.6,52.7,1,10,1.4,89.5,0
615.0,56.8,5,86.1,77.4,10,3,3.1,100.0,1
465.0,82.4,7,115.8,79.5,2,7,4.0,35.6,2
795.0,62.2,4,105.2,76.0,2,4,2.3,64.3,2
571.0,54.9,5,93.3,39.8,1,5,2.5,32.3,0
435.0,50.8,6,122.8,57.0,8,9,4.7,38.2,2
536.0,55.5,8,161.7,69.6,6,6,1.9,53.5,2
683.0,54.2,5,159.2,77.3,6,10,1.4,53.8,0
487.0,62.6,5,52.3,81.5,10,4,2.4,67.4,1
436.0,62.4,7,127.3,72.2,10,8,4.0,57.8,2
649.0,60.0,5,104.7,75.0,9,9,3.5,76.0,2
649.0,66.6,4,114.7,71.3,5,10,2.7,66.4,2
499.0,77.9,4,98.1,80.3,4,5,4.9,93.0,2
506.0,74.2,3,113.5,74.7,6,2,3.9,76.6,2
646.0,37.7,6,114.5,71.0,8,6,1.2,36.4,0
310.0,21.7,8,92.6,66.0,1,8,4.0,57.1,0
319.0,74.0,7,83.1,71.2,7,5,1.1,58.4,1
456.0,39.5,8,96.5,77.3,8,1,3.6,68.8,0
557.0,56.6,10,117.0,74.0,9,8,1.8,81.5,1
662.0,42.4,7,128.0,75.7,8,9,3.8,65.7,2
895.0,33.0,8,135.6,90.1,7,1,2.2,71.6,0
772.0,68.1,10,95.2,74.0,3,8,4.5,37.3,2
568.0,71.4,4,118.5,60.3,2,10,2.3,50.8,2
596.0,51.4,0,138.9,83.3,3,2,3.5,21.8,1
399.0,21.1,6,145.0,49.5,4,4,2.1,68.8,0
596.0,51.8,8,108.2,53.8,4,2,4.7,76.8,1
542.0,65.9,8,103.4,75.0,6,2,4.1,33.6,2
665.0,37.8,6,115.7,77.7,7,10,2.0,63.2,2
435.0,62.8,5,75.5,51.3,4,3,4.8,58.0,1
704.0,59.8,10,104.2,64.3,10,8,2.4,93.8,1
907.0,68.7,6,132.3,60.9,6,4,3.6,42.1,1
578.0,61.8,11,129.3,62.7,9,7,4.0,78.4,2
680.0,45.4,6,101.9,84.2,6,10,1.1,82.9,2
738.0,77.9,9,116.5,80.6,3,3,4.8,56.1,0
520.0,57.6,5,85.3,69.7,1,10,2.4,65.8,2
645.0,59.6,7,131.1,61.8,10,3,1.8,81.5,1
603.0,46.0,3,107.7,49.8,10,2,4.4,38.0,0
620.0,53.4,5,101.7,91.3,5,6,3.8,51.5,1
445.0,46.7,3,99.1,78.9,10,6,1.3,63.7,2
605.0,57.4,3,108.1,59.4,10,1,1.5,100.0,0
700.0,85.7,4,96.6,80.8,3,7,3.9,52.0,2
890.0,39.4,5,129.7,68.9,8,4,1.3,54.6,0
792.0,35.8,9,98.1,65.7,10,3,4.7,90.9,2
1031.0,82.1,5,157.8,76.5,1,8,4.0,73.3,2
447.0,56.9,9,154.0,58.9,2,2,2.3,100.0,0
774.0,50.0,4,83.3,64.8,3,9,2.5,81.9,2
637.0,75.6,11,112.1,71.8,3,8,3.0,57.1,1
1038.0,50.9,6,90.5,62.5,8,8,2.4,54.2,2
438.0,87.4,4,100.2,80.0,5,3,4.1,43.5,0
432.0,70.2,5,170.1,98.0,8,4,4.9,33.9,1
480.0,52.7,4,100.8,58.7,6,2,3.3,66.8,1
175.0,92.4,4,120.8,45.0,2,2,2.8,72.5,0
495.0,50.9,11,126.2,40.0,4,4,1.9,74.9,0
448.0,71.1,7,80.0,67.7,9,6,3.6,57.5,1
630.0,64.5,9,84.3,60.1,4,5,3.7,98.6,1
668.0,79.5,7,73.8,73.1,5,1,3.7,32.8,1
975.0,83.4,4,83.4,72.0,5,10,1.1,30.6,1
790.0,60.5,4,40.0,46.0,10,1,4.6,43.6,2
485.0,48.7,8,126.3,42.8,8,6,2.4,60.1,0
420.0,66.9,3,171.6,74.4,6,3,4.0,38.1,1
698.0,49.8,11,114.4,72.0,10,3,4.0,86.9,0
336.0,90.2,5,67.5,63.6,7,7,3.6,45.2,1
966.0,62.0,6,90.7,45.1,6,1,2.6,41.6,1
836.0,54.5,7,96.2,77.1,5,1,3.4,81.1,1
506.0,62.8,5,79.5,89.1,5,10,1.2,64.1,2
257.0,39.8,9,135.8,74.2,3,3,4.0,75.7,0
871.0,45.4,4,134.3,57.3,7,8,1.4,59.0,1
577.0,78.0,2,75.3,70.7,10,1,2.6,65.4,0
848.0,50.1,5,131.8,49.5,5,10,1.4,31.3,1
281.0,44.3,12,155.8,85.9,7,4,4.3,57.0,0
480.0,68.0,6,167.1,71.2,2,9,3.2,39.0,1
601.0,77.8,4,196.0,43.5,9,4,3.8,99.1,1
609.0,70.8,5,82.9,65.5,8,10,3.7,85.9,2
510.0,74.9,6,194.7,76.9,5,8,4.4,46.9,1
725.0,48.6,6,99.4,65.0,2,7,1.5,55.8,0
386.0,38.7,8,92.2,65.9,6,3,3.6,56.8,0
572.0,82.5,8,119.8,51.6,8,7,3.3,100.0,2
624.0,55.2,7,92.5,78.5,7,7,1.1,67.9,1
703.0,56.2,8,122.0,60.3,8,10,1.8,51.4,2
742.0,79.9,1,70.4,37.7,4,3,2.1,62.9,1
375.0,68.3,10,102.8,64.4,3,2,1.3,29.3,0
293.0,66.8,5,148.6,84.7,7,9,2.4,58.5,0
856.0,92.5,10,108.3,64.2,2,1,1.1,38.4,0
666.0,50.3,2,114.2,96.1,5,7,3.2,23.0,2
450.0,73.9,5,124.3,76.4,7,4,1.8,99.7,1
910.0,60.9,9,145.1,75.1,1,2,2.1,59.5,0
623.0,64.0,3,60.3,68.1,4,2,4.6,44.6,0
836.0,82.9,5,127.5,69.0,2,8,3.0,26.1,1
614.0,67.6,3,102.0,66.0,6,7,2.1,55.6,2
1012.0,68.1,5,115.0,65.5,1,7,3.4,57.0,1
951.0,76.1,5,141.8,78.0,7,5,1.8,75.3,2
550.0,54.5,6,74.2,56.0,3,10,1.3,40.9,0
794.0,47.4,8,79.6,53.9,1,8,1.1,49.3,0
729.0,44.3,3,51.9,53.2,8,2,4.8,41.5,1
874.0,30.5,9,93.5,100.0,7,2,3.9,55.6,1
407.0,90.8,8,149.9,78.0,2,5,4.2,20.1,0
737.0,43.5,6,106.4,74.6,7,1,4.9,43.9,1
812.0,56.7,5,69.8,54.1,3,6,4.7,72.6,1
248.0,55.8,7,95.4,79.4,9,4,3.9,35.5,0
363.0,64.6,8,65.4,68.3,8,6,3.8,80.0,2
192.0,72.2,5,76.2,73.2,5,7,2.3,77.5,0
546.0,72.9,4,121.7,55.4,7,3,1.4,79.1,1
